"","ARID1A_mut","CHD6_mut","CHD7_mut","CREBBP_mut","EP300_mut","KDM6A_mut","CHD6_amp","CHD7_amp","PRDM9_amp","CHD3_del","CREBBP_del","HDAC4_del","PHF23_del","CHD6_ampmut","CHD7_ampmut","CREBBP_delmut","EP300CREBBP_mut","EP300CREBBP_delmut"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",-0.218963161218303,-0.117697944535281,-0.100007208809165,-0.0987642192877343,-0.0957273317405634,0.192251166219238,0.116265370400276,0.0868841724587446,0.180169520094732,0.181677009305371,0.0652847779987144,0.104139375964487,0.177410383724205,0.0772054627225057,0.0674590820570973,-0.00204655971950665,-0.103072896255695,-0.0972938342419142
"KEGG_CITRATE_CYCLE_TCA_CYCLE",-0.0187950263457239,0.0678909038609887,0.130580157187377,0.0963902594853264,0.0902557042352814,0.054392585386401,0.0416550789770982,0.108598413143214,0.205776164355195,0.0609656765273046,0.209034263399286,0.122015279141699,0.0642781950131296,0.0573732866268462,0.166189554223496,0.249762798374908,0.0815183801664457,0.178710619671356
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",-0.233519301763225,-0.0328389527296474,0.167083411222632,0.052585082500227,0.106847803309762,0.120883425428226,0.0632479360366603,0.039441727202406,0.400527797910223,0.111288465092578,0.118321117817738,0.0654628779898448,0.116255829329323,0.0558050172605041,0.0962768267528803,0.142646431586457,0.0816692704367089,0.145058909045677
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.225838386272731,-0.0138529282783562,-0.261943212252431,-0.596558641719004,-0.558951097064142,0.597638549601731,0.572557194303203,0.49344864129849,-0.0457914866084002,0.576293583700458,0.344989753949915,0.528615968713768,0.566088701569789,0.524748654620652,0.41371285122184,-0.0110179933996991,-0.589641011904783,-0.503552635438153
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",-0.179502881933487,-0.0481444207174108,-0.0579982267742947,-0.223249752373871,-0.123895576865518,0.263487982314388,0.201186909226604,0.128248425458263,0.23980739758102,0.22500707629429,0.102040517041236,0.131622430845788,0.225313804056793,0.169331393551155,0.121893895516792,-0.0287142064072885,-0.160977832558445,-0.138361783982379
"KEGG_GALACTOSE_METABOLISM",-0.258383509354313,-0.164840729489083,0.162117283791381,0.16568511426846,0.276744947031154,-0.163251964488841,-0.224087246379782,-0.268656239100652,0.233061153670962,-0.206325482681013,-0.184588979497652,-0.241853603927529,-0.199383823502909,-0.231811450062565,-0.220834801303664,-0.0625194576007175,0.248648613311349,0.188025531905871
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.0918550704254717,-0.107517091768494,-0.365475846778881,-0.573299984345576,-0.556614241426553,0.539706580264613,0.475430152116475,0.401946590498295,-0.133023378097447,0.525311577806904,0.196940955965837,0.417851202404633,0.511751595744117,0.408037857556051,0.286311460840441,-0.156230973072624,-0.567674462899546,-0.559429034044308
"KEGG_FATTY_ACID_METABOLISM",0.343685630899783,0.130472908482401,-0.329062702858187,-0.557024860850548,-0.603894488476683,0.497387513423757,0.458122296033989,0.488783941034768,-0.295389966539111,0.411966835237366,0.344616238690739,0.486127636206739,0.395921934250713,0.440399580051529,0.384356036017189,0.0314636250203631,-0.608019411485541,-0.517859294646293
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.203316688287205,-0.0490720248378813,-0.469151597369633,-0.742167045776998,-0.676451329406888,0.593633420039288,0.541035086051626,0.450284129559263,-0.164485942998815,0.55577515724215,0.257015249104995,0.494843581209179,0.541570622830511,0.478267560606119,0.311586994601521,-0.185173811809796,-0.718399707972554,-0.701796831021626
"KEGG_OXIDATIVE_PHOSPHORYLATION",-0.245840358094062,0.132222634883357,-0.319164018430522,-0.294569964496615,-0.318668236113943,0.331473413452415,0.18671716837976,0.230276044385062,-0.0644384496678471,0.17166082835578,0.172086289445703,0.141676952765691,0.16376205841185,0.181422934119612,0.148567196172546,0.0362705579158909,-0.304692157345688,-0.228082481498273
"KEGG_PURINE_METABOLISM",-0.458029005562444,-0.0504671414350689,0.0904776224781978,0.443284340522943,0.380934855334395,-0.36674374909669,-0.392356047325125,-0.284245642292529,0.202648813320466,-0.410484788882603,-0.181021679080071,-0.401565831092654,-0.407841205482511,-0.357362932797997,-0.248036571278337,0.120699141409626,0.424948699074976,0.416026384241543
